account_number,owner_id,bank_name,account_type,open_date,balance_inr
1001001000,PER00001,SBI,Savings,2016-06-23,87655
1001001001,PER00001,HDFC Bank,Savings,2015-08-19,54987
1001001002,PER00002,ICICI Bank,Savings,2019-12-03,0
1001001003,PER00002,SBI,Savings,2024-05-31,0
1001001004,PER00003,SBI,Savings,2019-03-25,392206
1001001005,PER00003,SBI,Savings,2020-09-06,306287
1001001006,PER00004,SBI,Savings,2025-02-26,21477
1001001007,PER00005,Axis Bank,Savings,2016-04-14,40762
1001001008,PER00005,SBI,Savings,2016-01-29,186028
1001001009,PER00006,Axis Bank,Savings,2019-06-14,42476
1001001010,PER00007,ICICI Bank,Savings,2025-06-04,0
1001001011,PER00008,Kotak Mahindra Bank,Savings,2011-02-26,0
1001001012,PER00008,Kotak Mahindra Bank,Savings,2015-02-26,0
1001001013,PER00009,HDFC Bank,Savings,2017-08-15,253187
1001001014,PER00009,HDFC Bank,Savings,2018-08-31,155458
1001001015,PER00010,HDFC Bank,Savings,2011-11-22,204339
1001001016,PER00010,SBI,Savings,2021-10-26,247606
1001001017,PER00011,HDFC Bank,Savings,2020-11-18,229366
1001001018,PER00011,SBI,Savings,2014-10-15,210655
1001001019,PER00012,HDFC Bank,Savings,2020-07-08,212282
1001001020,PER00013,Kotak Mahindra Bank,Savings,2023-04-12,189596
1001001021,PER00014,SBI,Savings,2011-03-29,333959
1001001022,PER00015,SBI,Savings,2026-01-01,198911
1001001023,PER00016,HDFC Bank,Savings,2022-07-13,0
1001001024,PER00017,HDFC Bank,Savings,2017-01-28,40824
1001001025,PER00017,HDFC Bank,Savings,2024-02-28,65048
1001001026,PER00018,SBI,Savings,2020-04-06,146616
1001001027,PER00018,SBI,Savings,2018-01-10,246874
1001001028,PER00019,ICICI Bank,Savings,2017-04-26,30635
1001001029,PER00019,Kotak Mahindra Bank,Savings,2023-12-24,73270
1001001030,PER00020,HDFC Bank,Savings,2012-03-07,39725
1001001031,PER00021,Kotak Mahindra Bank,Savings,2025-05-16,153527
1001001032,PER00021,Kotak Mahindra Bank,Savings,2016-03-07,69817
1001001033,PER00022,HDFC Bank,Savings,2017-02-13,118628
1001001034,PER00023,HDFC Bank,Savings,2012-02-16,53816
1001001035,PER00023,SBI,Savings,2024-10-10,173944
1001001036,PER00024,Kotak Mahindra Bank,Savings,2025-08-24,155481
1001001037,PER00024,SBI,Savings,2011-11-27,101099
1001001038,PER00025,Axis Bank,Savings,2020-09-28,179169
1001001039,PER00026,ICICI Bank,Savings,2012-10-24,480767
1001001040,PER00027,Kotak Mahindra Bank,Savings,2021-07-17,140040
1001001041,PER00027,HDFC Bank,Savings,2015-09-16,100739
1001001042,PER00028,Kotak Mahindra Bank,Savings,2021-07-26,51533
1001001043,PER00028,HDFC Bank,Savings,2013-12-02,163624
1001001044,PER00029,Axis Bank,Savings,2013-09-28,186878
1001001045,PER00029,Kotak Mahindra Bank,Savings,2025-02-20,726040
1001001046,PER00030,SBI,Savings,2019-06-03,46078
1001001047,PER00030,HDFC Bank,Savings,2013-03-24,184419
1001001048,PER00031,HDFC Bank,Savings,2014-06-08,182129
1001001049,PER00032,Axis Bank,Savings,2016-07-01,218903
1001001050,PER00033,Axis Bank,Savings,2022-09-26,291221
