case_id,person_id,case_details,case_date,status
CASE00001,PER00583,Theft,2019-08-11,Under Investigation
CASE00002,PER00470,Cybercrime,2017-09-12,Under Investigation
CASE00003,PER00071,Assault,2016-02-18,Closed
CASE00004,PER00764,Cybercrime,2023-08-26,Convicted
CASE00005,PER00001,Cheque Bounce,2025-05-29,Convicted
CASE00006,PER00446,Theft,2022-07-04,Convicted
CASE00007,PER00095,Cheque Bounce,2025-08-02,Under Investigation
CASE00008,PER00307,Assault,2019-02-28,Closed
CASE00009,PER00269,Fraud,2023-01-25,Under Investigation
CASE00010,PER00192,Theft,2017-06-11,Under Investigation
CASE00011,PER00604,Cybercrime,2016-12-29,Under Investigation
CASE00012,PER00188,Cheque Bounce,2026-01-14,Closed
CASE00013,PER00172,Theft,2021-06-24,Convicted
CASE00014,PER00373,Fraud,2020-10-13,Under Investigation
CASE00015,PER00204,Assault,2019-07-07,Convicted
CASE00016,PER00569,Fraud,2020-12-21,Closed
CASE00017,PER00374,Assault,2018-05-07,Convicted
CASE00018,PER00145,Fraud,2024-08-22,Convicted
CASE00019,PER00530,Assault,2023-10-13,Closed
CASE00020,PER00298,Assault,2018-04-14,Closed
CASE00021,PER00989,Assault,2019-07-12,Convicted
CASE00022,PER00694,Fraud,2016-04-17,Convicted
CASE00023,PER00311,Cybercrime,2022-03-28,Under Investigation
CASE00024,PER00869,Assault,2017-10-23,Closed
CASE00025,PER00517,Theft,2019-11-15,Convicted
CASE00026,PER00697,Cheque Bounce,2018-12-18,Under Investigation
CASE00027,PER00952,Cheque Bounce,2022-10-17,Closed
CASE00028,PER00622,Assault,2021-06-04,Closed
CASE00029,PER00289,Theft,2016-12-14,Under Investigation
CASE00030,PER00413,Cybercrime,2019-02-11,Convicted
CASE00031,PER00796,Cybercrime,2016-06-05,Closed
CASE00032,PER00295,Theft,2017-12-11,Convicted
CASE00033,PER00442,Theft,2017-03-07,Under Investigation
CASE00034,PER00698,Cheque Bounce,2024-08-09,Under Investigation
CASE00035,PER00516,Cybercrime,2017-09-26,Convicted
CASE00036,PER00483,Fraud,2016-02-13,Under Investigation
CASE00037,PER00456,Fraud,2019-05-06,Convicted
CASE00038,PER00612,Cybercrime,2017-09-14,Under Investigation
CASE00039,PER00393,Fraud,2016-11-20,Under Investigation
CASE00040,PER00992,Theft,2019-11-30,Closed
CASE00041,PER00384,Assault,2017-12-31,Under Investigation
CASE00042,PER00463,Cheque Bounce,2021-02-16,Convicted
CASE00043,PER00692,Cybercrime,2022-12-30,Under Investigation
CASE00044,PER00731,Fraud,2023-01-03,Convicted
CASE00045,PER00048,Theft,2024-02-29,Closed
CASE00046,PER00500,Cheque Bounce,2022-01-14,Convicted
CASE00047,PER00710,Fraud,2021-05-29,Closed
CASE00048,PER00395,Assault,2023-12-10,Closed
CASE00049,PER00976,Assault,2018-02-25,Closed
CASE00050,PER00860,Cheque Bounce,2020-09-13,Closed
