property_id,owner_person_id,property_address,purchase_date,purchase_value_inr
PROP00001,PER00825,"61, De Marg, Bhalswa Jahangir Pur 652528",2020-08-03,1024051
PROP00002,PER00160,"H.No. 573, Sangha Street, Maheshtala-327945",2025-04-01,673718
PROP00003,PER00197,"56, Tandon Circle, Jodhpur-740772",2023-08-02,3250267
PROP00004,PER00682,"84, Gaba Nagar, Sambalpur-670399",2019-04-07,8407606
PROP00005,PER00510,"107, Brahmbhatt Street, Malda 231265",2024-02-17,825770
PROP00006,PER00732,"19/72, Master Marg, Gopalpur 471532",2021-11-22,1771786
PROP00007,PER00122,"45/73, Natarajan Street, Srikakulam-958787",2018-05-27,495453
PROP00008,PER00719,"26, Kalita Marg, Gaya 981355",2021-02-06,2899171
PROP00009,PER00040,"H.No. 91, Dewan Nagar, Nandyal 305260",2024-12-23,2783474
PROP00010,PER00255,"64/489, Samra Road, Kulti 335509",2025-12-05,2382291
PROP00011,PER00019,"79/49, Maharaj Zila, Bathinda 838164",2024-09-12,2208426
PROP00012,PER00967,"H.No. 38, Raj Nagar, Parbhani-607199",2024-08-18,3819714
PROP00013,PER00242,"72/14, Bhattacharyya, Alappuzha 803863",2023-12-30,14047707
PROP00014,PER00709,"H.No. 034, Mandal Ganj, Bijapur 252283",2019-04-27,6507041
PROP00015,PER00329,"H.No. 23, Bhakta Marg, Kavali 641615",2020-03-24,5756185
PROP00016,PER00330,"H.No. 446, Vohra Zila, Bhiwandi 487813",2018-04-14,5269699
PROP00017,PER00483,"H.No. 44, Bedi Road, Ranchi-482600",2025-04-06,692256
PROP00018,PER00737,"99, Sharaf Zila, Howrah 342218",2024-07-29,1595642
PROP00019,PER00176,"H.No. 77, Thakkar Road, Karaikudi-440372",2025-04-10,0
PROP00020,PER00947,"H.No. 246, Bir Chowk, Jamnagar 441926",2024-02-25,3442997
PROP00021,PER00105,"903, Nair, Katihar-344357",2020-03-23,18394087
PROP00022,PER00246,"699, Deshmukh, Hospet-053199",2024-05-03,5173903
PROP00023,PER00977,"H.No. 98, Doctor Road, Latur 646443",2024-06-06,684718
PROP00024,PER00195,"H.No. 712, Chaudhry Marg, Darbhanga 073709",2022-07-25,5176824
PROP00025,PER00182,"76, Bora Circle, Bathinda 666605",2019-11-10,3234163
PROP00026,PER00136,"163, Naidu Street, Bellary-818167",2021-10-24,7519039
PROP00027,PER00757,"91, Khare Path, Nandyal 846888",2018-06-04,1622615
PROP00028,PER00593,"717, Balan Marg, Bathinda 612381",2025-04-15,1031144
PROP00029,PER00706,"93/093, Dixit Ganj, Jammu 315581",2020-07-06,9225796
PROP00030,PER00089,"H.No. 879, Patla Chowk, Mysore 549341",2018-10-22,8212941
PROP00031,PER00598,"H.No. 405, Wable Path, Kirari Suleman Nagar-205281",2024-07-31,2202471
PROP00032,PER00853,"07, Tank Street, Sambalpur 524311",2018-06-04,473253
PROP00033,PER00600,"H.No. 683, Pandey Ganj, Guntur-409911",2023-09-21,2115907
PROP00034,PER00370,"11/172, Srivastava, Bidhannagar 066946",2020-05-04,2289122
PROP00035,PER00128,"66/366, Varkey Path, Amravati 133841",2020-03-30,6641367
PROP00036,PER00743,"16/361, Dey Chowk, Jehanabad-388661",2022-03-20,23130612
PROP00037,PER00412,"51/71, Goda, Mango 121088",2019-11-05,6916762
PROP00038,PER00679,"H.No. 25, Vasa Zila, Medininagar 134807",2020-06-14,1043776
PROP00039,PER00621,"H.No. 41, Gopal Nagar, Tadepalligudem 142042",2022-10-14,2991116
PROP00040,PER00104,"27/57, Dugar Ganj, Thrissur 784866",2019-05-21,13345947
PROP00041,PER00001,"H.No. 37, Buch Marg, Gurgaon-691776",2022-01-04,594508
PROP00042,PER00390,"165, Jaggi, Munger 419233",2018-05-11,3098040
PROP00043,PER00985,"629, Mand Chowk, Srinagar-941967",2023-08-31,10285355
PROP00044,PER00565,"H.No. 039, Chawla Chowk, Thiruvananthapuram 337270",2022-01-01,1276148
PROP00045,PER00528,"H.No. 59, Thaman Nagar, Buxar 578964",2023-12-03,102888523
PROP00046,PER00722,"30/01, Kumar Chowk, Madanapalle 993639",2023-09-16,1483243
PROP00047,PER00753,"66/126, Sane Zila, Dhule 533987",2024-10-23,6438190
PROP00048,PER00539,"37/967, Khatri Path, Srinagar-330362",2022-06-10,2466243
PROP00049,PER00684,"H.No. 43, Kant Nagar, Secunderabad 972271",2019-01-16,5238794
PROP00050,PER00393,"86/067, Cheema Marg, Kharagpur-806077",2018-11-18,2116727
PROP00051,PER00641,"88/678, Dayal Path, Purnia-774131",2023-10-21,658009
