transaction_id,from_account,to_account,amount_inr,timestamp,payment_mode,remarks
TXN0000001,1001001056,1001001885,243,2025-04-17 15:38:41,RTGS,Transaction
TXN0000002,1001001927,1001002479,762,2025-12-20 01:03:31,RTGS,Transaction
TXN0000003,1001002691,1001001961,526,2024-07-05 18:00:33,NEFT,Transaction
TXN0000004,1001002668,1001001825,7361,2025-12-09 02:49:43,NEFT,Transaction
TXN0000005,1001002377,1001001160,5423,2025-07-03 18:26:35,RTGS,Transaction
TXN0000006,1001001259,1001001480,578,2024-05-08 18:47:24,NEFT,Transaction
TXN0000007,1001002774,1001001334,10278,2025-12-30 02:59:04,NEFT,Transaction
TXN0000008,1001002197,1001001834,33680,2024-07-31 17:56:13,UPI,Transaction
TXN0000009,1001002001,1001001019,880,2025-04-24 10:44:21,UPI,Transaction
TXN0000010,1001002072,1001001705,1516,2024-07-27 17:14:26,NEFT,Transaction
TXN0000011,1001002843,1001001926,170,2025-05-24 20:25:41,IMPS,Transaction
TXN0000012,1001002146,1001001092,376,2026-01-22 05:19:57,UPI,Transaction
TXN0000013,1001002392,1001002194,562,2025-02-15 21:52:50,UPI,Transaction
TXN0000014,1001002237,1001001719,2234,2024-07-04 12:47:33,UPI,Transaction
TXN0000015,1001001586,1001002862,1094,2024-07-26 17:03:51,IMPS,Transaction
TXN0000016,1001002325,1001001240,9217,2025-01-04 03:30:20,RTGS,Transaction
TXN0000017,1001002154,1001001240,885,2024-10-05 13:30:48,UPI,Transaction
TXN0000018,1001002655,1001001527,8322,2025-12-15 03:12:20,NEFT,Transaction
TXN0000019,1001001385,1001001219,14651,2025-05-01 04:50:31,UPI,Transaction
TXN0000020,1001001790,1001001448,32088,2024-04-14 04:28:20,RTGS,Transaction
TXN0000021,1001001424,1001001230,242,2024-07-24 23:51:00,RTGS,Transaction
TXN0000022,1001001487,1001002203,7788,2025-06-03 08:23:56,UPI,Transaction
TXN0000023,1001002097,1001002866,11933,2024-10-04 07:21:08,NEFT,Transaction
TXN0000024,1001001829,1001001072,1174,2025-10-08 17:30:34,IMPS,Transaction
TXN0000025,1001002832,1001002008,381,2025-06-09 01:14:51,RTGS,Transaction
TXN0000026,1001001643,1001001195,40024,2025-08-17 17:11:32,RTGS,Transaction
TXN0000027,1001001838,1001002598,1580,2025-08-29 21:30:18,NEFT,Transaction
TXN0000028,1001002277,1001002086,30569,2024-03-15 00:01:02,UPI,Transaction
TXN0000029,1001001957,1001001640,1224,2025-12-23 20:39:38,IMPS,Transaction
TXN0000030,1001001608,1001002426,1065,2025-04-15 22:10:17,UPI,Transaction
TXN0000031,1001001973,1001001651,26136,2024-10-17 05:36:30,IMPS,Transaction
TXN0000032,1001002315,1001002656,17660,2025-03-10 05:52:42,IMPS,Transaction
TXN0000033,1001002658,1001002179,497,2025-09-16 07:30:26,NEFT,Transaction
TXN0000034,1001001257,1001001654,499,2025-07-31 00:36:59,RTGS,Transaction
TXN0000035,1001002866,1001001994,8069,2025-12-10 12:47:29,NEFT,Transaction
TXN0000036,1001001198,1001002625,505,2024-09-27 17:15:19,RTGS,Transaction
TXN0000037,1001002231,1001002319,7735,2025-11-16 20:05:00,UPI,Transaction
TXN0000038,1001002790,1001002737,8790,2025-07-30 06:30:38,UPI,Transaction
TXN0000039,1001001049,1001002886,4417,2025-06-08 22:44:18,RTGS,Transaction
TXN0000040,1001002638,1001001444,37502,2025-04-28 08:00:51,RTGS,Transaction
TXN0000041,1001002815,1001001231,23072,2024-06-15 02:39:57,UPI,Transaction
TXN0000042,1001002183,1001002551,19950,2026-01-28 13:25:14,UPI,Transaction
TXN0000043,1001001742,1001002468,1448,2024-05-17 00:26:41,RTGS,Transaction
TXN0000044,1001001387,1001002216,926,2025-03-21 09:24:57,RTGS,Transaction
TXN0000045,1001001225,1001002585,8475,2025-04-22 02:52:22,NEFT,Transaction
TXN0000046,1001001530,1001002194,292,2026-01-08 00:25:04,NEFT,Transaction
TXN0000047,1001002844,1001001793,8401,2024-05-25 00:05:39,UPI,Transaction
TXN0000048,1001002393,1001002133,205,2025-07-24 02:57:16,RTGS,Transaction
TXN0000049,1001002209,1001001028,859,2025-05-07 10:41:26,NEFT,Transaction
TXN0000050,1001002401,1001001158,1822,2025-06-03 11:04:06,UPI,Transaction
TXN0000051,1001002874,1001001368,101,2024-09-04 04:16:33,UPI,Transaction
TXN0000052,1001001835,1001002139,6938,2025-05-02 01:09:31,RTGS,Transaction
TXN0000053,1001002152,1001001646,1456,2024-06-29 16:24:14,NEFT,Transaction
TXN0000054,1001001071,1001002684,5489,2024-03-14 00:47:59,NEFT,Transaction
TXN0000055,1001002198,1001002469,520,2025-10-28 15:00:34,IMPS,Transaction
TXN0000056,1001002855,1001001797,1775,2025-03-02 23:17:47,UPI,Transaction
TXN0000057,1001001221,1001002124,406,2025-09-16 07:07:05,IMPS,Transaction
TXN0000058,1001002874,1001001382,843,2024-07-24 14:07:32,NEFT,Transaction
TXN0000059,1001001565,1001001899,9722,2025-07-03 23:21:26,IMPS,Transaction
TXN0000060,1001002892,1001002302,9970,2025-12-07 09:41:31,IMPS,Transaction
TXN0000061,1001001995,1001001375,9982,2024-11-05 20:32:13,UPI,Transaction
TXN0000062,1001002787,1001001210,5934,2025-08-26 04:03:53,UPI,Transaction
TXN0000063,1001002194,1001001974,522,2024-11-05 16:39:30,RTGS,Transaction
TXN0000064,1001001699,1001002206,550,2024-10-30 08:40:01,NEFT,Transaction
TXN0000065,1001001114,1001001843,8070,2025-09-06 14:23:44,UPI,Transaction
TXN0000066,1001001113,1001002315,33643,2024-10-03 09:08:17,IMPS,Transaction
TXN0000067,1001002584,1001001390,823,2024-10-05 00:04:16,NEFT,Transaction
TXN0000068,1001002626,1001002042,290,2024-09-02 09:05:22,IMPS,Transaction
TXN0000069,1001002767,1001002147,2212,2025-03-23 23:33:03,UPI,Transaction
TXN0000070,1001002500,1001002377,7960,2024-12-14 02:59:20,UPI,Transaction
TXN0000071,1001002171,1001002263,6199,2024-05-17 22:02:24,RTGS,Transaction
TXN0000072,1001002229,1001002776,12143,2024-08-26 00:30:02,NEFT,Transaction
TXN0000073,1001001606,1001002673,496,2025-09-17 03:37:06,RTGS,Transaction
TXN0000074,1001001791,1001002894,345,2025-04-07 22:56:41,RTGS,Transaction
TXN0000075,1001001212,1001001004,720,2024-05-10 01:37:18,RTGS,Transaction
TXN0000076,1001001496,1001001229,15065,2025-10-12 11:00:06,NEFT,Transaction
TXN0000077,1001001089,1001002236,9353,2024-05-06 21:47:02,UPI,Transaction
TXN0000078,1001001580,1001001210,5085,2024-09-11 23:04:05,NEFT,Transaction
TXN0000079,1001001715,1001001167,848,2025-03-11 12:02:10,NEFT,Transaction
TXN0000080,1001002239,1001001342,825,2024-04-03 23:49:38,RTGS,Transaction
TXN0000081,1001002510,1001002042,366,2026-01-09 04:03:16,IMPS,Transaction
TXN0000082,1001001940,1001001753,988,2024-11-29 08:20:28,NEFT,Transaction
TXN0000083,1001001920,1001002127,5022,2024-02-25 23:02:30,IMPS,Transaction
TXN0000084,1001001678,1001001328,25700,2025-04-12 08:31:35,RTGS,Transaction
TXN0000085,1001001495,1001001455,13803,2025-02-27 10:46:40,UPI,Transaction
TXN0000086,1001001997,1001001186,4714,2025-10-04 02:19:11,RTGS,Transaction
TXN0000087,1001001980,1001001016,846,2025-05-21 22:03:21,IMPS,Transaction
TXN0000088,1001001362,1001001675,5661,2025-01-18 16:34:29,UPI,Transaction
TXN0000089,1001002557,1001001964,8776,2025-09-30 08:58:53,IMPS,Transaction
TXN0000090,1001001071,1001002383,1719,2024-09-04 23:29:08,NEFT,Transaction
TXN0000091,1001001260,1001002324,24449,2025-01-02 05:26:46,NEFT,Transaction
TXN0000092,1001002079,1001002227,880,2025-06-22 02:39:29,IMPS,Transaction
TXN0000093,1001002083,1001002135,34324,2024-07-08 09:14:14,UPI,Transaction
TXN0000094,1001002239,1001001552,675,2024-12-03 21:47:47,NEFT,Transaction
TXN0000095,1001001314,1001001437,10535,2026-01-13 09:21:12,RTGS,Transaction
TXN0000096,1001002289,1001001915,9929,2024-05-13 08:29:45,NEFT,Transaction
TXN0000097,1001002502,1001001564,6647,2025-12-10 06:10:19,NEFT,Transaction
TXN0000098,1001001901,1001002768,16608,2024-12-31 12:17:55,RTGS,Transaction
TXN0000099,1001001665,1001001163,44469,2025-05-28 14:08:18,UPI,Transaction
TXN0000100,1001001009,1001001591,32641,2025-08-12 18:33:00,UPI,Transaction
TXN0000101,1001001463,1001002653,861,2025-04-12 11:09:57,RTGS,Transaction
TXN0000102,1001001854,1001002799,4059,2024-03-08 22:32:16,NEFT,Transaction
TXN0000103,1001002756,1001001825,38889,2025-07-10 20:42:02,RTGS,Transaction
TXN0000104,1001002516,1001001296,9803,2025-06-04 09:00:00,IMPS,Transaction
TXN0000105,1001002709,1001001257,701,2025-02-10 12:14:21,NEFT,Transaction
TXN0000106,1001001037,1001002520,41639,2025-04-26 15:24:43,NEFT,Transaction
TXN0000107,1001001816,1001002171,6669,2024-04-05 18:05:22,RTGS,Transaction
TXN0000108,1001001723,1001002407,8267,2024-10-28 22:32:58,UPI,Transaction
TXN0000109,1001002151,1001001853,31826,2025-10-07 15:24:09,IMPS,Transaction
TXN0000110,1001002279,1001002509,260,2025-06-04 03:37:47,NEFT,Transaction
TXN0000111,1001002792,1001001169,876,2025-12-07 08:04:50,NEFT,Transaction
TXN0000112,1001002471,1001002508,106,2025-11-19 07:21:46,IMPS,Transaction
TXN0000113,1001002878,1001002162,43289,2024-04-27 16:51:59,NEFT,Transaction
TXN0000114,1001001151,1001001879,7021,2024-04-15 20:31:18,IMPS,Transaction
TXN0000115,1001002561,1001002414,8751,2025-10-09 09:56:18,UPI,Transaction
TXN0000116,1001001325,1001001734,3020,2024-05-05 05:42:17,IMPS,Transaction
TXN0000117,1001001898,1001002038,3314,2024-04-30 13:33:54,IMPS,Transaction
TXN0000118,1001002415,1001001040,27945,2024-04-22 09:03:08,UPI,Transaction
TXN0000119,1001001888,1001002803,8429,2025-12-15 18:37:26,UPI,Transaction
TXN0000120,1001002374,1001002748,3518,2026-01-17 09:18:37,NEFT,Transaction
TXN0000121,1001002816,1001002630,1205,2024-11-02 15:43:35,RTGS,Transaction
TXN0000122,1001002730,1001001024,42251,2025-06-03 05:39:48,UPI,Transaction
TXN0000123,1001002882,1001002398,8048,2025-10-30 21:42:04,UPI,Transaction
TXN0000124,1001001945,1001002659,148,2024-05-11 14:59:47,NEFT,Transaction
TXN0000125,1001002300,1001001783,2804,2025-05-22 13:45:38,IMPS,Transaction
TXN0000126,1001001187,1001001553,707,2024-04-17 15:02:29,UPI,Transaction
TXN0000127,1001002494,1001002217,4194,2024-09-11 19:22:44,NEFT,Transaction
TXN0000128,1001001193,1001001026,653,2025-01-21 13:49:40,UPI,Transaction
TXN0000129,1001001412,1001001909,597,2024-06-26 17:00:39,NEFT,Transaction
TXN0000130,1001001547,1001002672,6357,2024-11-20 20:25:14,IMPS,Transaction
TXN0000131,1001002701,1001001607,528,2024-05-04 00:37:30,UPI,Transaction
TXN0000132,1001001689,1001001717,26008,2025-06-14 01:59:18,NEFT,Transaction
TXN0000133,1001002234,1001001738,573,2025-04-17 12:51:03,RTGS,Transaction
TXN0000134,1001001838,1001002109,6199,2025-07-28 06:25:35,RTGS,Transaction
TXN0000135,1001002526,1001002040,620,2025-02-19 03:53:41,IMPS,Transaction
TXN0000136,1001002295,1001002072,17668,2024-10-17 08:19:09,IMPS,Transaction
TXN0000137,1001001681,1001002643,4069,2024-04-23 11:39:21,IMPS,Transaction
TXN0000138,1001002389,1001002508,3351,2025-06-21 12:59:00,NEFT,Transaction
TXN0000139,1001002055,1001001080,831,2025-05-19 02:37:26,RTGS,Transaction
TXN0000140,1001002189,1001002360,102,2024-03-31 06:55:48,IMPS,Transaction
TXN0000141,1001002100,1001001979,860,2024-10-07 06:23:28,NEFT,Transaction
TXN0000142,1001001289,1001002600,40387,2025-04-20 14:46:38,IMPS,Transaction
TXN0000143,1001002416,1001002308,605,2025-12-09 16:25:00,IMPS,Transaction
TXN0000144,1001002041,1001002263,5816,2025-05-16 17:10:12,NEFT,Transaction
TXN0000145,1001002372,1001001127,9851,2024-11-21 08:15:51,RTGS,Transaction
TXN0000146,1001002362,1001002782,9594,2025-01-12 10:06:27,RTGS,Transaction
TXN0000147,1001001521,1001001109,989,2024-03-28 00:12:31,IMPS,Transaction
TXN0000148,1001002779,1001002695,788,2025-02-10 18:59:10,RTGS,Transaction
TXN0000149,1001001817,1001001896,9248,2024-11-22 06:09:55,UPI,Transaction
