account_number,owner_id,bank_name,account_type,open_date,balance_inr
1001001000,PER00001,HDFC Bank,Savings,2018-12-17,204668
1001001001,PER00002,Kotak Mahindra Bank,Savings,2016-01-28,226129
1001001002,PER00003,Kotak Mahindra Bank,Savings,2014-11-18,174892
1001001003,PER00004,HDFC Bank,Savings,2019-06-04,118154
1001001004,PER00005,Axis Bank,Savings,2020-08-16,303239
1001001005,PER00005,SBI,Savings,2015-11-09,304198
1001001006,PER00006,HDFC Bank,Savings,2021-10-22,111431
1001001007,PER00007,HDFC Bank,Savings,2020-02-13,132907
1001001008,PER00007,ICICI Bank,Savings,2012-01-06,76060
1001001009,PER00008,ICICI Bank,Savings,2017-10-18,81001
1001001010,PER00008,SBI,Savings,2021-08-07,176581
1001001011,PER00009,Axis Bank,Savings,2017-02-06,105618
1001001012,PER00010,ICICI Bank,Savings,2024-10-03,74390
1001001013,PER00010,Kotak Mahindra Bank,Savings,2013-01-11,82294
1001001014,PER00011,ICICI Bank,Savings,2015-06-20,138617
1001001015,PER00012,HDFC Bank,Savings,2021-02-06,74402
1001001016,PER00012,Kotak Mahindra Bank,Savings,2015-06-26,170075
1001001017,PER00013,SBI,Savings,2018-02-21,97927
1001001018,PER00013,SBI,Savings,2016-10-13,201816
1001001019,PER00014,ICICI Bank,Savings,2024-05-10,62204
1001001020,PER00015,ICICI Bank,Savings,2011-11-30,300323
1001001021,PER00016,HDFC Bank,Savings,2017-06-28,464734
1001001022,PER00016,Axis Bank,Savings,2023-10-08,534367
1001001023,PER00017,HDFC Bank,Savings,2013-10-10,49425
1001001024,PER00017,Axis Bank,Savings,2017-12-22,131989
1001001025,PER00018,HDFC Bank,Savings,2024-11-30,109740
1001001026,PER00019,ICICI Bank,Savings,2023-03-28,194570
1001001027,PER00020,Axis Bank,Savings,2025-07-17,128640
1001001028,PER00021,Axis Bank,Savings,2012-04-08,92573
1001001029,PER00022,HDFC Bank,Savings,2024-01-23,243904
1001001030,PER00023,SBI,Savings,2010-09-11,202771
1001001031,PER00024,Axis Bank,Savings,2020-04-13,224853
