transaction_id,from_account,to_account,amount_inr,timestamp,payment_mode,remarks
TXN0000001,1001001823,1001001682,837,2025-01-27 03:13:24,IMPS,Transaction
TXN0000002,1001002331,1001002529,4622,2023-11-27 20:44:07,UPI,Transaction
TXN0000003,1001002595,1001002478,2949,2024-09-19 18:49:19,RTGS,Transaction
TXN0000004,1001001563,1001001896,950,2024-10-01 00:50:28,UPI,Transaction
TXN0000005,1001002706,1001001725,8689,2025-03-06 22:56:02,IMPS,Transaction
TXN0000006,1001001913,1001002110,582,2024-07-31 08:02:59,IMPS,Transaction
TXN0000007,1001002453,1001001044,108,2025-05-08 02:18:32,RTGS,Transaction
TXN0000008,1001001676,1001001204,8578,2023-11-27 01:32:21,IMPS,Transaction
TXN0000009,1001002218,1001002820,4455,2023-10-10 00:01:54,IMPS,Transaction
TXN0000010,1001002474,1001002717,846,2024-05-21 20:24:38,UPI,Transaction
TXN0000011,1001001388,1001002364,484,2024-05-10 16:24:07,NEFT,Transaction
TXN0000012,1001001050,1001001059,182,2024-09-19 17:47:52,IMPS,Transaction
TXN0000013,1001001180,1001002267,3330,2024-09-28 15:14:46,RTGS,Transaction
TXN0000014,1001001314,1001002023,15230,2024-09-15 04:03:22,RTGS,Transaction
TXN0000015,1001001352,1001001881,4577,2024-02-03 11:38:46,RTGS,Transaction
TXN0000016,1001002323,1001001527,4950,2024-03-04 06:19:42,UPI,Transaction
TXN0000017,1001001668,1001001898,21332,2024-12-31 09:26:39,RTGS,Transaction
TXN0000018,1001001101,1001001074,348,2024-07-21 22:50:12,NEFT,Transaction
TXN0000019,1001002108,1001002009,591,2024-12-18 17:39:18,IMPS,Transaction
TXN0000020,1001002470,1001002373,39638,2024-07-26 12:42:08,RTGS,Transaction
TXN0000021,1001001308,1001001810,4627,2025-02-12 02:11:15,RTGS,Transaction
TXN0000022,1001001386,1001002568,153,2024-10-16 12:31:40,IMPS,Transaction
TXN0000023,1001001948,1001001635,962,2024-04-17 09:12:00,IMPS,Transaction
TXN0000024,1001002142,1001001774,645,2024-08-22 05:01:29,RTGS,Transaction
